camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,stem_height,stem_angle,stem_length
SV,VIS,z1,e65,g0,0,h1,2016-06-28-07-13-19,211952,Fa022AC031841,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_211952_2016-06-28-07-13-19_Fa022AC031841.png/VIS_SV_0_z1_h1_g0_e65_v500_211952_2016-06-28-07-13-19_Fa022AC031841.png,324,2.7496423721313477,422.96810191869736
SV,VIS,z1,e65,g0,0,h1,2016-06-23-07-13-24,186212,Fa022AC031841,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_186212_2016-06-23-07-13-24_Fa022AC031841.png/VIS_SV_0_z1_h1_g0_e65_v500_186212_2016-06-23-07-13-24_Fa022AC031841.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-24-24,213224,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_213224_2016-06-28-09-24-24_Fa016AC031865.png,415,25.717105865478516,543.7577105760574
SV,VIS,z1,e65,g0,0,h1,2016-06-28-07-51-47,212321,Fa016AC031835,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_212321_2016-06-28-07-51-47_Fa016AC031835.png/VIS_SV_0_z1_h1_g0_e65_v500_212321_2016-06-28-07-51-47_Fa016AC031835.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-28-07-24-30,212060,Fa022AC031901,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_212060_2016-06-28-07-24-30_Fa022AC031901.png/VIS_SV_0_z1_h1_g0_e65_v500_212060_2016-06-28-07-24-30_Fa022AC031901.png,282,169.89515686035156,425.2635161280632
SV,VIS,z1,e65,g0,0,h1,2016-06-28-07-49-18,212300,Fa016AC031895,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_212300_2016-06-28-07-49-18_Fa016AC031895.png/VIS_SV_0_z1_h1_g0_e65_v500_212300_2016-06-28-07-49-18_Fa016AC031895.png,478,-10.066067695617676,656.1121615171432
SV,VIS,z1,e65,g0,0,h1,2016-06-28-09-29-21,213269,Fa022AC031871,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_213269_2016-06-28-09-29-21_Fa022AC031871.png/VIS_SV_0_z1_h1_g0_e65_v500_213269_2016-06-28-09-29-21_Fa022AC031871.png,240,-5.851681709289551,371.5189524292946
SV,VIS,z1,e65,g0,0,h1,2016-06-28-16-49-56,214070,Fa016AC031715,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_214070_2016-06-28-16-49-56_Fa016AC031715.png/VIS_SV_0_z1_h1_g0_e65_v500_214070_2016-06-28-16-49-56_Fa016AC031715.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-28-16-51-48,214085,Fa022AC031661,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_214085_2016-06-28-16-51-48_Fa022AC031661.png/VIS_SV_0_z1_h1_g0_e65_v500_214085_2016-06-28-16-51-48_Fa022AC031661.png,530,-11.285600662231445,665.5113391280174
SV,VIS,z1,e65,g0,0,h1,2016-06-28-16-52-26,214094,Fa016AC031655,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_214094_2016-06-28-16-52-26_Fa016AC031655.png/VIS_SV_0_z1_h1_g0_e65_v500_214094_2016-06-28-16-52-26_Fa016AC031655.png,453,-3.1323370933532715,732.4311983585358
SV,VIS,z1,e65,g0,0,h1,2016-06-28-17-59-02,214724,Fa022AC031721,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_214724_2016-06-28-17-59-02_Fa022AC031721.png/VIS_SV_0_z1_h1_g0_e65_v500_214724_2016-06-28-17-59-02_Fa022AC031721.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-28-18-16-17,214892,Fa016AC031685,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_214892_2016-06-28-18-16-17_Fa016AC031685.png/VIS_SV_0_z1_h1_g0_e65_v500_214892_2016-06-28-18-16-17_Fa016AC031685.png,576,6.516584873199463,892.5365915894508
SV,VIS,z1,e65,g0,0,h1,2016-06-28-18-59-24,215312,Fa022AC031691,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_215312_2016-06-28-18-59-24_Fa022AC031691.png/VIS_SV_0_z1_h1_g0_e65_v500_215312_2016-06-28-18-59-24_Fa022AC031691.png,427,-8.473177909851074,609.8014233112335
SV,VIS,z1,e65,g0,0,h1,2016-06-28-20-03-42,215510,Fa022AC031811,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_215510_2016-06-28-20-03-42_Fa022AC031811.png/VIS_SV_0_z1_h1_g0_e65_v500_215510_2016-06-28-20-03-42_Fa022AC031811.png,538,-4.264129638671875,879.8235679268837
SV,VIS,z1,e65,g0,0,h1,2016-06-28-20-42-13,215882,Fa016AC031745,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_215882_2016-06-28-20-42-13_Fa016AC031745.png/VIS_SV_0_z1_h1_g0_e65_v500_215882_2016-06-28-20-42-13_Fa016AC031745.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-28-21-09-19,216146,Fa016AC031805,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_216146_2016-06-28-21-09-19_Fa016AC031805.png/VIS_SV_0_z1_h1_g0_e65_v500_216146_2016-06-28-21-09-19_Fa016AC031805.png,417,-19.079565048217773,617.4689548015594
SV,VIS,z1,e65,g0,0,h1,2016-06-28-21-32-06,216365,Fa022AC031781,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_216365_2016-06-28-21-32-06_Fa022AC031781.png/VIS_SV_0_z1_h1_g0_e65_v500_216365_2016-06-28-21-32-06_Fa022AC031781.png,306,-4.983841419219971,488.7522940635681
SV,VIS,z1,e65,g0,0,h1,2016-06-28-21-39-31,216437,Fa016AC031775,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_216437_2016-06-28-21-39-31_Fa016AC031775.png/VIS_SV_0_z1_h1_g0_e65_v500_216437_2016-06-28-21-39-31_Fa016AC031775.png,313,-6.338700294494629,457.57695561647415
SV,VIS,z1,e65,g0,0,h1,2016-06-29-13-47-17,217706,Fa016AC031715,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_217706_2016-06-29-13-47-17_Fa016AC031715.png/VIS_SV_0_z1_h1_g0_e65_v500_217706_2016-06-29-13-47-17_Fa016AC031715.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-29-13-49-59,217724,Fa022AC031661,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_217724_2016-06-29-13-49-59_Fa022AC031661.png/VIS_SV_0_z1_h1_g0_e65_v500_217724_2016-06-29-13-49-59_Fa022AC031661.png,551,-9.986480712890625,684.4007470607758
SV,VIS,z1,e65,g0,0,h1,2016-06-29-13-50-36,217730,Fa016AC031655,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_217730_2016-06-29-13-50-36_Fa016AC031655.png/VIS_SV_0_z1_h1_g0_e65_v500_217730_2016-06-29-13-50-36_Fa016AC031655.png,450,-2.990283727645874,748.1246150135994
SV,VIS,z1,e65,g0,0,h1,2016-06-29-14-55-17,218360,Fa022AC031721,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_218360_2016-06-29-14-55-17_Fa022AC031721.png/VIS_SV_0_z1_h1_g0_e65_v500_218360_2016-06-29-14-55-17_Fa022AC031721.png,412,-7.322881698608398,504.54878211021423
SV,VIS,z1,e65,g0,0,h1,2016-06-29-15-12-32,218528,Fa016AC031685,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_218528_2016-06-29-15-12-32_Fa016AC031685.png/VIS_SV_0_z1_h1_g0_e65_v500_218528_2016-06-29-15-12-32_Fa016AC031685.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-29-15-56-27,218946,Fa022AC031691,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_218946_2016-06-29-15-56-27_Fa022AC031691.png/VIS_SV_0_z1_h1_g0_e65_v500_218946_2016-06-29-15-56-27_Fa022AC031691.png,427,-18.663455963134766,607.2687666416168
SV,VIS,z1,e65,g0,0,h1,2016-06-29-16-48-42,219143,Fa022AC031811,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_219143_2016-06-29-16-48-42_Fa022AC031811.png/VIS_SV_0_z1_h1_g0_e65_v500_219143_2016-06-29-16-48-42_Fa022AC031811.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-29-17-28-13,219518,Fa016AC031745,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_219518_2016-06-29-17-28-13_Fa016AC031745.png/VIS_SV_0_z1_h1_g0_e65_v500_219518_2016-06-29-17-28-13_Fa016AC031745.png,399,-5.0851545333862305,707.2789105176926
SV,VIS,z1,e65,g0,0,h1,2016-06-29-17-55-21,219779,Fa016AC031805,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_219779_2016-06-29-17-55-21_Fa016AC031805.png/VIS_SV_0_z1_h1_g0_e65_v500_219779_2016-06-29-17-55-21_Fa016AC031805.png,436,-105.10454559326172,635.989027261734
SV,VIS,z1,e65,g0,0,h1,2016-06-29-18-18-26,220004,Fa022AC031781,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_220004_2016-06-29-18-18-26_Fa022AC031781.png/VIS_SV_0_z1_h1_g0_e65_v500_220004_2016-06-29-18-18-26_Fa022AC031781.png,305,-6.184910297393799,484.8829901814461
SV,VIS,z1,e65,g0,0,h1,2016-06-29-18-25-57,220073,Fa016AC031775,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_220073_2016-06-29-18-25-57_Fa016AC031775.png/VIS_SV_0_z1_h1_g0_e65_v500_220073_2016-06-29-18-25-57_Fa016AC031775.png,NA,NA,NA
SV,VIS,z1,e65,g0,0,h1,2016-06-29-20-27-47,220784,Fa022AC031901,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_220784_2016-06-29-20-27-47_Fa022AC031901.png/VIS_SV_0_z1_h1_g0_e65_v500_220784_2016-06-29-20-27-47_Fa022AC031901.png,288,-43.839813232421875,332.67261731624603
SV,VIS,z1,e65,g0,0,h1,2016-06-29-20-53-33,221024,Fa016AC031895,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_221024_2016-06-29-20-53-33_Fa016AC031895.png/VIS_SV_0_z1_h1_g0_e65_v500_221024_2016-06-29-20-53-33_Fa016AC031895.png,539,8.368173599243164,812.0068128108978
SV,VIS,z1,e65,g0,0,h1,2016-06-29-22-28-41,221948,Fa016AC031865,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_221948_2016-06-29-22-28-41_Fa016AC031865.png/VIS_SV_0_z1_h1_g0_e65_v500_221948_2016-06-29-22-28-41_Fa016AC031865.png,347,5.063734531402588,560.8063858151436
SV,VIS,z1,e65,g0,0,h1,2016-06-29-20-56-01,221048,Fa016AC031835,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_221048_2016-06-29-20-56-01_Fa016AC031835.png/VIS_SV_0_z1_h1_g0_e65_v500_221048_2016-06-29-20-56-01_Fa016AC031835.png,305,-18.126232147216797,442.1166204214096
SV,VIS,z1,e65,g0,0,h1,2016-06-29-22-33-38,221996,Fa022AC031871,none,none,none,v500,/shares/bioinformatics/hschuhl/sorghum_nitrogen/hands_on/small_subset/VIS_SV_0_z1_h1_g0_e65_v500_221996_2016-06-29-22-33-38_Fa022AC031871.png/VIS_SV_0_z1_h1_g0_e65_v500_221996_2016-06-29-22-33-38_Fa022AC031871.png,289,-18.582355499267578,448.2235555052757
